subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
03,0,0.5263157894736842,0.6465417522388803,0.03618421052631579,0.5180921052631579,0.5625,0.47368421052631576,0.5142857142857142,35,19,16,0
04,1,0.5559006211180124,0.5832596949829897,0.0650157914671245,0.5326086956521738,0.5833333333333334,0.5,0.5384615384615384,51,28,23,0
05,2,0.4975369458128079,0.4941803674521929,0.05295566502463054,0.5264778325123153,0.5357142857142857,0.5172413793103449,0.5263157894736842,57,29,28,0
06,3,0.413265306122449,0.43902279486954715,0.0,0.5,0.5,0.5714285714285714,0.5333333333333333,56,28,28,0
07,4,0.5708333333333333,0.5150610792716056,0.11500161355436699,0.5583333333333333,0.42105263157894735,0.6666666666666666,0.5161290322580645,32,12,20,0
08,5,0.6266233766233766,0.6448898101186191,0.11613144917081457,0.5584415584415584,0.6153846153846154,0.5714285714285714,0.5925925925925926,50,28,22,0
10,6,0.5201465201465202,0.5733894804002878,0.05311355311355311,0.5265567765567765,0.5769230769230769,0.5769230769230769,0.5769230769230769,47,26,21,0
12,7,0.7226890756302521,0.7661086618728905,0.2753218825982293,0.6323529411764706,0.65,0.7647058823529411,0.7027027027027027,31,17,14,0
14,8,0.3333333333333333,0.407034632034632,-0.16666666666666666,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,6,8,0
15,9,0.5961538461538461,0.47619047619047616,0.18232322463624387,0.6057692307692308,0.3,0.75,0.42857142857142855,17,4,13,0
17,10,0.5588235294117647,0.5260277856201769,0.2100420126042015,0.6102941176470589,0.4,0.75,0.5217391304347826,25,8,17,0
18,11,0.5502645502645503,0.5561722107655473,0.1633263145020371,0.580026455026455,0.5909090909090909,0.48148148148148145,0.5306122448979592,55,27,28,0
19,12,0.5555555555555556,0.6166394716394716,-0.05555555555555555,0.4722222222222222,0.5,0.5,0.5,19,10,9,0
20,13,0.2962962962962963,0.5191358024691358,-0.32732683535398854,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.375,15,9,6,0
21,14,0.5333333333333333,0.4883315295815296,0.06804138174397717,0.5333333333333333,0.4444444444444444,0.4,0.42105263157894735,25,10,15,0
22,15,0.3305785123966942,0.40402859386425205,-0.23973165074269207,0.38636363636363635,0.41379310344827586,0.5454545454545454,0.47058823529411764,44,22,22,0
24,16,0.2756410256410256,0.3745618569883276,-0.28205128205128205,0.358974358974359,0.3333333333333333,0.3333333333333333,0.3333333333333333,25,12,13,0
25,17,0.4565217391304348,0.5205196099867387,0.1296781597678381,0.5641304347826087,0.6111111111111112,0.4782608695652174,0.5365853658536586,43,23,20,0
26,18,0.5142857142857143,0.5328996300738156,0.1195477589361953,0.5583333333333333,0.56,0.6666666666666666,0.6086956521739131,41,21,20,0
27,19,0.4038461538461538,0.5071458699503882,-0.049619766344887316,0.475,0.5416666666666666,0.5,0.52,46,26,20,0
28,20,0.556923076923077,0.552743707448188,0.05718763176550473,0.5284615384615384,0.5217391304347826,0.48,0.5,51,25,26,0
29,21,0.5231999999999999,0.5948226260086726,0.04052204492365539,0.52,0.5238095238095238,0.44,0.4782608695652174,50,25,25,0
30,22,0.45913461538461536,0.4420015897659472,-0.075052056099763,0.46153846153846156,0.34782608695652173,0.5,0.41025641025641024,42,16,26,0
31,23,0.4801587301587301,0.4329851294427553,-0.14896350576708434,0.4226190476190476,0.29411764705882354,0.4166666666666667,0.3448275862068966,33,12,21,0
32,24,0.5683709869203329,0.6188045472868093,0.10369516947304253,0.5517241379310345,0.5483870967741935,0.5862068965517241,0.5666666666666667,58,29,29,0
33,25,0.41486068111455104,0.5001921244788605,-0.16692446522239718,0.41640866873065013,0.3888888888888889,0.4117647058823529,0.4,36,17,19,0
34,26,0.4919908466819222,0.5558025783963138,-0.021393127492027906,0.4897025171624714,0.5333333333333333,0.34782608695652173,0.42105263157894735,42,23,19,0
35,27,0.5,0.6243881086107219,-0.11180339887498948,0.4444444444444444,0.4375,0.3888888888888889,0.4117647058823529,36,18,18,0
36,28,0.6,0.6400125313283208,0.30151134457776363,0.6499999999999999,0.6666666666666666,0.6,0.631578947368421,20,10,10,0
37,29,0.6111111111111112,0.8045662790734054,0.2974059387397313,0.6527777777777778,0.7894736842105263,0.75,0.7692307692307693,29,20,9,0
38,30,0.3461538461538462,0.4175142370617484,-0.18681318681318682,0.4065934065934066,0.38461538461538464,0.38461538461538464,0.38461538461538464,27,13,14,0
39,31,0.44949494949494945,0.631653622083001,-0.15275570229717966,0.4217171717171717,0.5384615384615384,0.3888888888888889,0.45161290322580644,29,18,11,0
40,32,0.5124653739612188,0.49662133338256786,0.05292561240249631,0.5263157894736842,0.5294117647058824,0.47368421052631576,0.5,38,19,19,0
41,33,0.582010582010582,0.7013867566072927,0.057735026918962574,0.5277777777777778,0.56,0.6666666666666666,0.6086956521739131,39,21,18,0
42,34,0.5473145780051151,0.5822811188267834,0.19494670478207318,0.5984654731457801,0.6666666666666666,0.6086956521739131,0.6363636363636364,40,23,17,0
43,35,0.5597826086956521,0.5940258528519886,0.10440190828766627,0.5516304347826086,0.5555555555555556,0.625,0.5882352941176471,47,24,23,0
