perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
0,64,0,0,0,1.0,0,False
1,63,1,0,0,0.984375,0,False
2,62,2,0,0,0.96875,0,False
3,62,2,0,0,0.96875,0,False
4,62,2,0,0,0.96875,0,False
5,63,1,0,0,0.984375,0,False
6,63,1,0,0,0.984375,0,False
7,60,4,0,0,0.9375,0,False
8,63,1,0,0,0.984375,0,False
9,63,1,0,0,0.984375,0,False
10,62,2,0,0,0.96875,0,False
11,63,1,0,0,0.984375,0,False
12,63,1,0,0,0.984375,0,False
13,63,1,0,0,0.984375,0,False
14,63,1,0,0,0.984375,0,False
15,62,2,0,0,0.96875,0,False
16,63,1,0,0,0.984375,0,False
17,64,0,0,0,1.0,0,False
18,63,1,0,0,0.984375,0,False
19,61,3,0,0,0.953125,0,False
20,61,3,0,0,0.953125,0,False
21,62,2,0,0,0.96875,0,False
22,62,2,0,0,0.96875,0,False
23,63,1,0,0,0.984375,0,False
24,62,2,0,0,0.96875,0,False
25,62,2,0,0,0.96875,0,False
26,64,0,0,0,1.0,0,False
27,63,1,0,0,0.984375,0,False
28,61,3,0,0,0.953125,0,False
29,62,2,0,0,0.96875,0,False
30,62,2,0,0,0.96875,0,False
31,62,2,0,0,0.96875,0,False
32,60,4,0,0,0.9375,0,False
33,63,1,0,0,0.984375,0,False
34,62,2,0,0,0.96875,0,False
35,63,1,0,0,0.984375,0,False
36,64,0,0,0,1.0,0,False
37,62,2,0,0,0.96875,0,False
38,63,1,0,0,0.984375,0,False
39,62,2,0,0,0.96875,0,False
40,64,0,0,0,1.0,0,False
41,62,2,0,0,0.96875,0,False
42,63,1,0,0,0.984375,0,False
43,62,2,0,0,0.96875,0,False
44,63,1,0,0,0.984375,0,False
45,62,2,0,0,0.96875,0,False
46,62,2,0,0,0.96875,0,False
47,63,1,0,0,0.984375,0,False
48,61,3,0,0,0.953125,0,False
49,62,2,0,0,0.96875,0,False
50,63,1,0,0,0.984375,0,False
51,63,1,0,0,0.984375,0,False
52,64,0,0,0,1.0,0,False
53,63,1,0,0,0.984375,0,False
54,63,1,0,0,0.984375,0,False
55,62,2,0,0,0.96875,0,False
56,63,1,0,0,0.984375,0,False
57,62,2,0,0,0.96875,0,False
58,64,0,0,0,1.0,0,False
59,63,1,0,0,0.984375,0,False
60,62,2,0,0,0.96875,0,False
61,60,4,0,0,0.9375,0,False
62,64,0,0,0,1.0,0,False
63,63,1,0,0,0.984375,0,False
64,63,0,1,0,0.984375,1,False
65,60,4,0,0,0.9375,0,False
66,64,0,0,0,1.0,0,False
67,63,1,0,0,0.984375,0,False
68,63,1,0,0,0.984375,0,False
69,63,1,0,0,0.984375,0,False
70,61,2,1,0,0.953125,1,False
71,62,2,0,0,0.96875,0,False
72,62,2,0,0,0.96875,0,False
73,60,4,0,0,0.9375,0,False
74,63,1,0,0,0.984375,0,False
75,62,2,0,0,0.96875,0,False
76,63,1,0,0,0.984375,0,False
77,63,1,0,0,0.984375,0,False
78,63,1,0,0,0.984375,0,False
79,64,0,0,0,1.0,0,False
80,63,1,0,0,0.984375,0,False
81,63,1,0,0,0.984375,0,False
82,61,3,0,0,0.953125,0,False
83,63,1,0,0,0.984375,0,False
84,63,1,0,0,0.984375,0,False
85,63,1,0,0,0.984375,0,False
86,62,2,0,0,0.96875,0,False
87,64,0,0,0,1.0,0,False
88,63,1,0,0,0.984375,0,False
89,63,1,0,0,0.984375,0,False
90,62,2,0,0,0.96875,0,False
91,63,1,0,0,0.984375,0,False
92,61,3,0,0,0.953125,0,False
93,64,0,0,0,1.0,0,False
94,64,0,0,0,1.0,0,False
95,62,2,0,0,0.96875,0,False
96,62,2,0,0,0.96875,0,False
97,62,2,0,0,0.96875,0,False
98,62,2,0,0,0.96875,0,False
99,62,2,0,0,0.96875,0,False
100,63,1,0,0,0.984375,0,False
101,61,3,0,0,0.953125,0,False
102,62,2,0,0,0.96875,0,False
103,63,1,0,0,0.984375,0,False
104,62,2,0,0,0.96875,0,False
105,63,1,0,0,0.984375,0,False
106,62,2,0,0,0.96875,0,False
107,62,2,0,0,0.96875,0,False
108,63,1,0,0,0.984375,0,False
109,63,1,0,0,0.984375,0,False
110,62,2,0,0,0.96875,0,False
111,62,2,0,0,0.96875,0,False
112,63,1,0,0,0.984375,0,False
113,62,2,0,0,0.96875,0,False
114,61,3,0,0,0.953125,0,False
115,63,1,0,0,0.984375,0,False
116,64,0,0,0,1.0,0,False
117,64,0,0,0,1.0,0,False
118,62,2,0,0,0.96875,0,False
119,63,1,0,0,0.984375,0,False
120,63,1,0,0,0.984375,0,False
121,63,1,0,0,0.984375,0,False
122,62,2,0,0,0.96875,0,False
123,61,2,1,0,0.953125,1,False
124,63,1,0,0,0.984375,0,False
125,59,5,0,0,0.921875,0,False
126,62,2,0,0,0.96875,0,False
127,61,3,0,0,0.953125,0,False
128,60,4,0,0,0.9375,0,False
129,64,0,0,0,1.0,0,False
130,62,2,0,0,0.96875,0,False
131,63,1,0,0,0.984375,0,False
132,64,0,0,0,1.0,0,False
133,63,1,0,0,0.984375,0,False
134,62,2,0,0,0.96875,0,False
135,62,2,0,0,0.96875,0,False
136,62,2,0,0,0.96875,0,False
137,63,1,0,0,0.984375,0,False
138,62,2,0,0,0.96875,0,False
139,62,2,0,0,0.96875,0,False
140,63,1,0,0,0.984375,0,False
141,62,2,0,0,0.96875,0,False
142,63,1,0,0,0.984375,0,False
143,60,4,0,0,0.9375,0,False
144,61,3,0,0,0.953125,0,False
145,63,1,0,0,0.984375,0,False
146,61,3,0,0,0.953125,0,False
147,64,0,0,0,1.0,0,False
148,63,1,0,0,0.984375,0,False
149,62,2,0,0,0.96875,0,False
150,60,4,0,0,0.9375,0,False
151,63,1,0,0,0.984375,0,False
152,64,0,0,0,1.0,0,False
153,63,1,0,0,0.984375,0,False
154,63,1,0,0,0.984375,0,False
155,62,2,0,0,0.96875,0,False
156,62,2,0,0,0.96875,0,False
157,63,1,0,0,0.984375,0,False
158,63,1,0,0,0.984375,0,False
159,62,2,0,0,0.96875,0,False
160,63,1,0,0,0.984375,0,False
161,62,2,0,0,0.96875,0,False
162,63,1,0,0,0.984375,0,False
163,64,0,0,0,1.0,0,False
164,62,2,0,0,0.96875,0,False
165,61,2,1,0,0.953125,1,False
166,63,1,0,0,0.984375,0,False
167,63,1,0,0,0.984375,0,False
168,62,2,0,0,0.96875,0,False
169,62,2,0,0,0.96875,0,False
170,63,1,0,0,0.984375,0,False
171,62,2,0,0,0.96875,0,False
172,63,1,0,0,0.984375,0,False
173,63,1,0,0,0.984375,0,False
174,61,3,0,0,0.953125,0,False
175,63,1,0,0,0.984375,0,False
176,63,1,0,0,0.984375,0,False
177,63,1,0,0,0.984375,0,False
178,63,1,0,0,0.984375,0,False
179,63,1,0,0,0.984375,0,False
180,63,1,0,0,0.984375,0,False
181,63,1,0,0,0.984375,0,False
182,63,1,0,0,0.984375,0,False
183,63,1,0,0,0.984375,0,False
184,62,2,0,0,0.96875,0,False
185,62,2,0,0,0.96875,0,False
186,62,2,0,0,0.96875,0,False
187,63,1,0,0,0.984375,0,False
188,63,1,0,0,0.984375,0,False
189,61,3,0,0,0.953125,0,False
190,63,1,0,0,0.984375,0,False
191,62,2,0,0,0.96875,0,False
192,63,1,0,0,0.984375,0,False
193,63,1,0,0,0.984375,0,False
194,62,2,0,0,0.96875,0,False
195,62,2,0,0,0.96875,0,False
196,62,2,0,0,0.96875,0,False
197,62,2,0,0,0.96875,0,False
198,64,0,0,0,1.0,0,False
199,63,1,0,0,0.984375,0,False
200,63,1,0,0,0.984375,0,False
201,62,2,0,0,0.96875,0,False
202,64,0,0,0,1.0,0,False
203,63,1,0,0,0.984375,0,False
204,62,2,0,0,0.96875,0,False
205,63,1,0,0,0.984375,0,False
206,63,1,0,0,0.984375,0,False
207,60,4,0,0,0.9375,0,False
208,63,1,0,0,0.984375,0,False
209,64,0,0,0,1.0,0,False
210,63,1,0,0,0.984375,0,False
211,61,3,0,0,0.953125,0,False
212,61,3,0,0,0.953125,0,False
213,62,2,0,0,0.96875,0,False
214,63,1,0,0,0.984375,0,False
215,62,2,0,0,0.96875,0,False
216,63,1,0,0,0.984375,0,False
217,63,1,0,0,0.984375,0,False
218,63,1,0,0,0.984375,0,False
219,63,1,0,0,0.984375,0,False
220,63,1,0,0,0.984375,0,False
221,64,0,0,0,1.0,0,False
222,62,2,0,0,0.96875,0,False
223,62,2,0,0,0.96875,0,False
224,62,2,0,0,0.96875,0,False
225,63,1,0,0,0.984375,0,False
226,63,1,0,0,0.984375,0,False
227,63,1,0,0,0.984375,0,False
228,64,0,0,0,1.0,0,False
229,62,2,0,0,0.96875,0,False
230,62,1,1,0,0.96875,1,False
231,63,1,0,0,0.984375,0,False
232,64,0,0,0,1.0,0,False
233,62,2,0,0,0.96875,0,False
234,62,2,0,0,0.96875,0,False
235,63,1,0,0,0.984375,0,False
236,62,2,0,0,0.96875,0,False
237,64,0,0,0,1.0,0,False
238,64,0,0,0,1.0,0,False
239,63,1,0,0,0.984375,0,False
240,62,2,0,0,0.96875,0,False
241,63,1,0,0,0.984375,0,False
242,63,1,0,0,0.984375,0,False
243,62,2,0,0,0.96875,0,False
244,63,1,0,0,0.984375,0,False
245,63,1,0,0,0.984375,0,False
246,62,2,0,0,0.96875,0,False
247,63,1,0,0,0.984375,0,False
248,62,2,0,0,0.96875,0,False
249,63,1,0,0,0.984375,0,False
250,63,1,0,0,0.984375,0,False
251,63,1,0,0,0.984375,0,False
252,63,1,0,0,0.984375,0,False
253,63,1,0,0,0.984375,0,False
254,63,1,0,0,0.984375,0,False
255,63,1,0,0,0.984375,0,False
256,64,0,0,0,1.0,0,False
257,64,0,0,0,1.0,0,False
258,64,0,0,0,1.0,0,False
259,63,1,0,0,0.984375,0,False
260,63,1,0,0,0.984375,0,False
261,63,1,0,0,0.984375,0,False
262,63,1,0,0,0.984375,0,False
263,63,1,0,0,0.984375,0,False
264,61,3,0,0,0.953125,0,False
265,64,0,0,0,1.0,0,False
266,63,1,0,0,0.984375,0,False
267,64,0,0,0,1.0,0,False
268,63,1,0,0,0.984375,0,False
269,63,1,0,0,0.984375,0,False
270,61,3,0,0,0.953125,0,False
271,62,2,0,0,0.96875,0,False
272,63,1,0,0,0.984375,0,False
273,63,1,0,0,0.984375,0,False
274,61,3,0,0,0.953125,0,False
275,63,1,0,0,0.984375,0,False
276,61,3,0,0,0.953125,0,False
277,62,2,0,0,0.96875,0,False
278,64,0,0,0,1.0,0,False
279,64,0,0,0,1.0,0,False
280,62,2,0,0,0.96875,0,False
281,61,3,0,0,0.953125,0,False
282,64,0,0,0,1.0,0,False
283,63,1,0,0,0.984375,0,False
284,62,2,0,0,0.96875,0,False
285,63,1,0,0,0.984375,0,False
286,63,1,0,0,0.984375,0,False
287,63,1,0,0,0.984375,0,False
288,64,0,0,0,1.0,0,False
289,62,2,0,0,0.96875,0,False
290,62,2,0,0,0.96875,0,False
291,64,0,0,0,1.0,0,False
292,63,1,0,0,0.984375,0,False
293,63,1,0,0,0.984375,0,False
294,62,2,0,0,0.96875,0,False
295,63,1,0,0,0.984375,0,False
296,63,1,0,0,0.984375,0,False
297,62,2,0,0,0.96875,0,False
298,63,1,0,0,0.984375,0,False
299,63,1,0,0,0.984375,0,False
300,63,1,0,0,0.984375,0,False
301,61,3,0,0,0.953125,0,False
302,63,1,0,0,0.984375,0,False
303,63,1,0,0,0.984375,0,False
304,63,1,0,0,0.984375,0,False
305,63,1,0,0,0.984375,0,False
306,62,2,0,0,0.96875,0,False
307,64,0,0,0,1.0,0,False
308,63,1,0,0,0.984375,0,False
309,63,1,0,0,0.984375,0,False
310,62,2,0,0,0.96875,0,False
311,62,2,0,0,0.96875,0,False
312,64,0,0,0,1.0,0,False
313,62,2,0,0,0.96875,0,False
314,64,0,0,0,1.0,0,False
315,63,1,0,0,0.984375,0,False
316,62,2,0,0,0.96875,0,False
317,59,5,0,0,0.921875,0,False
318,63,1,0,0,0.984375,0,False
319,63,1,0,0,0.984375,0,False
320,63,1,0,0,0.984375,0,False
321,62,2,0,0,0.96875,0,False
322,61,3,0,0,0.953125,0,False
323,64,0,0,0,1.0,0,False
324,61,3,0,0,0.953125,0,False
325,63,1,0,0,0.984375,0,False
326,62,2,0,0,0.96875,0,False
327,64,0,0,0,1.0,0,False
328,62,2,0,0,0.96875,0,False
329,63,1,0,0,0.984375,0,False
330,64,0,0,0,1.0,0,False
331,63,1,0,0,0.984375,0,False
332,63,1,0,0,0.984375,0,False
333,63,1,0,0,0.984375,0,False
334,63,1,0,0,0.984375,0,False
335,60,4,0,0,0.9375,0,False
336,62,2,0,0,0.96875,0,False
337,64,0,0,0,1.0,0,False
338,62,2,0,0,0.96875,0,False
339,61,3,0,0,0.953125,0,False
340,63,1,0,0,0.984375,0,False
341,64,0,0,0,1.0,0,False
342,62,2,0,0,0.96875,0,False
343,63,1,0,0,0.984375,0,False
344,63,1,0,0,0.984375,0,False
345,63,1,0,0,0.984375,0,False
346,63,1,0,0,0.984375,0,False
347,63,1,0,0,0.984375,0,False
348,61,3,0,0,0.953125,0,False
349,63,1,0,0,0.984375,0,False
350,63,1,0,0,0.984375,0,False
351,63,1,0,0,0.984375,0,False
352,62,2,0,0,0.96875,0,False
353,62,2,0,0,0.96875,0,False
354,63,1,0,0,0.984375,0,False
355,63,1,0,0,0.984375,0,False
356,62,2,0,0,0.96875,0,False
357,63,1,0,0,0.984375,0,False
358,64,0,0,0,1.0,0,False
359,64,0,0,0,1.0,0,False
360,64,0,0,0,1.0,0,False
361,64,0,0,0,1.0,0,False
362,63,1,0,0,0.984375,0,False
363,63,1,0,0,0.984375,0,False
364,63,1,0,0,0.984375,0,False
365,61,3,0,0,0.953125,0,False
366,62,2,0,0,0.96875,0,False
367,63,1,0,0,0.984375,0,False
368,62,2,0,0,0.96875,0,False
369,64,0,0,0,1.0,0,False
370,63,1,0,0,0.984375,0,False
371,61,3,0,0,0.953125,0,False
372,61,3,0,0,0.953125,0,False
373,61,3,0,0,0.953125,0,False
374,62,2,0,0,0.96875,0,False
375,63,1,0,0,0.984375,0,False
376,61,3,0,0,0.953125,0,False
377,63,1,0,0,0.984375,0,False
378,63,1,0,0,0.984375,0,False
379,59,5,0,0,0.921875,0,False
380,62,2,0,0,0.96875,0,False
381,64,0,0,0,1.0,0,False
382,63,1,0,0,0.984375,0,False
383,63,1,0,0,0.984375,0,False
384,61,3,0,0,0.953125,0,False
385,64,0,0,0,1.0,0,False
386,63,1,0,0,0.984375,0,False
387,63,1,0,0,0.984375,0,False
388,63,1,0,0,0.984375,0,False
389,64,0,0,0,1.0,0,False
390,63,1,0,0,0.984375,0,False
391,62,2,0,0,0.96875,0,False
392,64,0,0,0,1.0,0,False
393,63,1,0,0,0.984375,0,False
394,62,2,0,0,0.96875,0,False
395,64,0,0,0,1.0,0,False
396,62,2,0,0,0.96875,0,False
397,63,1,0,0,0.984375,0,False
398,62,2,0,0,0.96875,0,False
399,63,1,0,0,0.984375,0,False
400,62,2,0,0,0.96875,0,False
401,62,2,0,0,0.96875,0,False
402,64,0,0,0,1.0,0,False
403,62,2,0,0,0.96875,0,False
404,62,2,0,0,0.96875,0,False
405,62,2,0,0,0.96875,0,False
406,63,1,0,0,0.984375,0,False
407,63,1,0,0,0.984375,0,False
408,64,0,0,0,1.0,0,False
409,62,2,0,0,0.96875,0,False
410,63,1,0,0,0.984375,0,False
411,62,2,0,0,0.96875,0,False
412,64,0,0,0,1.0,0,False
413,64,0,0,0,1.0,0,False
414,64,0,0,0,1.0,0,False
415,59,5,0,0,0.921875,0,False
416,62,2,0,0,0.96875,0,False
417,63,1,0,0,0.984375,0,False
418,63,1,0,0,0.984375,0,False
419,62,2,0,0,0.96875,0,False
420,63,1,0,0,0.984375,0,False
421,61,3,0,0,0.953125,0,False
422,64,0,0,0,1.0,0,False
423,64,0,0,0,1.0,0,False
424,63,1,0,0,0.984375,0,False
425,63,1,0,0,0.984375,0,False
426,63,1,0,0,0.984375,0,False
427,64,0,0,0,1.0,0,False
428,63,1,0,0,0.984375,0,False
429,63,1,0,0,0.984375,0,False
430,62,2,0,0,0.96875,0,False
431,63,1,0,0,0.984375,0,False
432,62,2,0,0,0.96875,0,False
433,63,1,0,0,0.984375,0,False
434,64,0,0,0,1.0,0,False
435,63,1,0,0,0.984375,0,False
436,63,1,0,0,0.984375,0,False
437,62,2,0,0,0.96875,0,False
438,64,0,0,0,1.0,0,False
439,63,1,0,0,0.984375,0,False
440,61,3,0,0,0.953125,0,False
441,60,4,0,0,0.9375,0,False
442,62,2,0,0,0.96875,0,False
443,62,2,0,0,0.96875,0,False
444,63,1,0,0,0.984375,0,False
445,61,3,0,0,0.953125,0,False
446,63,1,0,0,0.984375,0,False
447,62,2,0,0,0.96875,0,False
448,62,2,0,0,0.96875,0,False
449,62,2,0,0,0.96875,0,False
450,63,1,0,0,0.984375,0,False
451,63,1,0,0,0.984375,0,False
452,62,2,0,0,0.96875,0,False
453,64,0,0,0,1.0,0,False
454,62,2,0,0,0.96875,0,False
455,61,3,0,0,0.953125,0,False
456,62,2,0,0,0.96875,0,False
457,64,0,0,0,1.0,0,False
458,63,1,0,0,0.984375,0,False
459,63,1,0,0,0.984375,0,False
460,63,1,0,0,0.984375,0,False
461,62,2,0,0,0.96875,0,False
462,64,0,0,0,1.0,0,False
463,63,1,0,0,0.984375,0,False
464,62,2,0,0,0.96875,0,False
465,63,1,0,0,0.984375,0,False
466,63,1,0,0,0.984375,0,False
467,62,2,0,0,0.96875,0,False
468,63,1,0,0,0.984375,0,False
469,62,2,0,0,0.96875,0,False
470,63,1,0,0,0.984375,0,False
471,64,0,0,0,1.0,0,False
472,62,2,0,0,0.96875,0,False
473,63,1,0,0,0.984375,0,False
474,61,3,0,0,0.953125,0,False
475,62,2,0,0,0.96875,0,False
476,64,0,0,0,1.0,0,False
477,62,2,0,0,0.96875,0,False
478,64,0,0,0,1.0,0,False
479,63,1,0,0,0.984375,0,False
480,64,0,0,0,1.0,0,False
481,63,1,0,0,0.984375,0,False
482,62,2,0,0,0.96875,0,False
483,63,1,0,0,0.984375,0,False
484,63,1,0,0,0.984375,0,False
485,63,1,0,0,0.984375,0,False
486,63,1,0,0,0.984375,0,False
487,63,1,0,0,0.984375,0,False
488,63,1,0,0,0.984375,0,False
489,62,2,0,0,0.96875,0,False
490,64,0,0,0,1.0,0,False
491,64,0,0,0,1.0,0,False
492,62,2,0,0,0.96875,0,False
493,62,2,0,0,0.96875,0,False
494,62,2,0,0,0.96875,0,False
495,62,2,0,0,0.96875,0,False
496,63,1,0,0,0.984375,0,False
497,64,0,0,0,1.0,0,False
498,63,1,0,0,0.984375,0,False
499,63,1,0,0,0.984375,0,False
500,63,1,0,0,0.984375,0,False
501,61,3,0,0,0.953125,0,False
502,63,1,0,0,0.984375,0,False
503,63,1,0,0,0.984375,0,False
504,63,1,0,0,0.984375,0,False
505,64,0,0,0,1.0,0,False
506,63,1,0,0,0.984375,0,False
507,62,2,0,0,0.96875,0,False
508,63,1,0,0,0.984375,0,False
509,63,1,0,0,0.984375,0,False
510,62,2,0,0,0.96875,0,False
511,62,2,0,0,0.96875,0,False
512,63,1,0,0,0.984375,0,False
513,63,1,0,0,0.984375,0,False
514,63,1,0,0,0.984375,0,False
515,63,1,0,0,0.984375,0,False
516,64,0,0,0,1.0,0,False
517,62,2,0,0,0.96875,0,False
518,61,3,0,0,0.953125,0,False
519,62,2,0,0,0.96875,0,False
520,63,1,0,0,0.984375,0,False
521,62,2,0,0,0.96875,0,False
522,62,2,0,0,0.96875,0,False
523,63,1,0,0,0.984375,0,False
524,63,1,0,0,0.984375,0,False
525,64,0,0,0,1.0,0,False
526,63,1,0,0,0.984375,0,False
527,64,0,0,0,1.0,0,False
528,62,2,0,0,0.96875,0,False
529,63,1,0,0,0.984375,0,False
530,61,3,0,0,0.953125,0,False
531,63,1,0,0,0.984375,0,False
532,63,1,0,0,0.984375,0,False
533,63,1,0,0,0.984375,0,False
534,62,2,0,0,0.96875,0,False
535,62,2,0,0,0.96875,0,False
536,63,1,0,0,0.984375,0,False
537,63,1,0,0,0.984375,0,False
538,63,1,0,0,0.984375,0,False
539,64,0,0,0,1.0,0,False
540,63,1,0,0,0.984375,0,False
541,64,0,0,0,1.0,0,False
542,63,1,0,0,0.984375,0,False
543,62,2,0,0,0.96875,0,False
544,63,1,0,0,0.984375,0,False
545,64,0,0,0,1.0,0,False
546,63,1,0,0,0.984375,0,False
547,63,1,0,0,0.984375,0,False
548,63,1,0,0,0.984375,0,False
549,63,1,0,0,0.984375,0,False
550,63,1,0,0,0.984375,0,False
551,63,1,0,0,0.984375,0,False
552,62,2,0,0,0.96875,0,False
553,63,1,0,0,0.984375,0,False
554,62,2,0,0,0.96875,0,False
555,63,1,0,0,0.984375,0,False
556,62,2,0,0,0.96875,0,False
557,63,1,0,0,0.984375,0,False
558,63,1,0,0,0.984375,0,False
559,60,4,0,0,0.9375,0,False
560,63,1,0,0,0.984375,0,False
561,63,1,0,0,0.984375,0,False
562,63,1,0,0,0.984375,0,False
563,61,3,0,0,0.953125,0,False
564,62,2,0,0,0.96875,0,False
565,63,1,0,0,0.984375,0,False
566,60,4,0,0,0.9375,0,False
567,63,1,0,0,0.984375,0,False
568,63,1,0,0,0.984375,0,False
569,62,2,0,0,0.96875,0,False
570,64,0,0,0,1.0,0,False
571,63,1,0,0,0.984375,0,False
572,62,2,0,0,0.96875,0,False
573,64,0,0,0,1.0,0,False
574,63,1,0,0,0.984375,0,False
575,64,0,0,0,1.0,0,False
576,63,1,0,0,0.984375,0,False
577,61,3,0,0,0.953125,0,False
578,63,1,0,0,0.984375,0,False
579,62,2,0,0,0.96875,0,False
580,63,1,0,0,0.984375,0,False
581,62,2,0,0,0.96875,0,False
582,63,1,0,0,0.984375,0,False
583,63,1,0,0,0.984375,0,False
584,62,2,0,0,0.96875,0,False
585,61,3,0,0,0.953125,0,False
586,61,3,0,0,0.953125,0,False
587,63,1,0,0,0.984375,0,False
588,63,1,0,0,0.984375,0,False
589,64,0,0,0,1.0,0,False
590,64,0,0,0,1.0,0,False
591,61,3,0,0,0.953125,0,False
592,62,2,0,0,0.96875,0,False
593,62,2,0,0,0.96875,0,False
594,62,2,0,0,0.96875,0,False
595,62,2,0,0,0.96875,0,False
596,63,1,0,0,0.984375,0,False
597,63,1,0,0,0.984375,0,False
598,62,2,0,0,0.96875,0,False
599,61,3,0,0,0.953125,0,False
600,62,2,0,0,0.96875,0,False
601,64,0,0,0,1.0,0,False
602,62,2,0,0,0.96875,0,False
603,64,0,0,0,1.0,0,False
604,62,2,0,0,0.96875,0,False
605,62,2,0,0,0.96875,0,False
606,62,2,0,0,0.96875,0,False
607,63,1,0,0,0.984375,0,False
608,64,0,0,0,1.0,0,False
609,62,2,0,0,0.96875,0,False
610,64,0,0,0,1.0,0,False
611,62,2,0,0,0.96875,0,False
612,63,1,0,0,0.984375,0,False
613,63,1,0,0,0.984375,0,False
614,63,1,0,0,0.984375,0,False
615,62,2,0,0,0.96875,0,False
616,62,2,0,0,0.96875,0,False
617,63,1,0,0,0.984375,0,False
618,63,1,0,0,0.984375,0,False
619,64,0,0,0,1.0,0,False
620,62,2,0,0,0.96875,0,False
621,61,3,0,0,0.953125,0,False
622,62,2,0,0,0.96875,0,False
623,63,1,0,0,0.984375,0,False
624,63,1,0,0,0.984375,0,False
625,62,2,0,0,0.96875,0,False
626,62,2,0,0,0.96875,0,False
627,61,3,0,0,0.953125,0,False
628,63,1,0,0,0.984375,0,False
629,63,1,0,0,0.984375,0,False
630,62,2,0,0,0.96875,0,False
631,64,0,0,0,1.0,0,False
632,64,0,0,0,1.0,0,False
633,63,1,0,0,0.984375,0,False
634,62,2,0,0,0.96875,0,False
635,64,0,0,0,1.0,0,False
636,63,1,0,0,0.984375,0,False
637,63,1,0,0,0.984375,0,False
638,64,0,0,0,1.0,0,False
639,61,3,0,0,0.953125,0,False
640,63,1,0,0,0.984375,0,False
641,62,2,0,0,0.96875,0,False
642,64,0,0,0,1.0,0,False
643,61,3,0,0,0.953125,0,False
644,64,0,0,0,1.0,0,False
645,62,2,0,0,0.96875,0,False
646,62,2,0,0,0.96875,0,False
647,64,0,0,0,1.0,0,False
648,63,1,0,0,0.984375,0,False
649,63,1,0,0,0.984375,0,False
650,63,1,0,0,0.984375,0,False
651,62,2,0,0,0.96875,0,False
652,63,1,0,0,0.984375,0,False
653,63,1,0,0,0.984375,0,False
654,63,1,0,0,0.984375,0,False
655,63,1,0,0,0.984375,0,False
656,62,2,0,0,0.96875,0,False
657,64,0,0,0,1.0,0,False
658,62,2,0,0,0.96875,0,False
659,63,1,0,0,0.984375,0,False
660,62,2,0,0,0.96875,0,False
661,62,2,0,0,0.96875,0,False
662,63,1,0,0,0.984375,0,False
663,63,1,0,0,0.984375,0,False
664,63,1,0,0,0.984375,0,False
665,63,1,0,0,0.984375,0,False
666,60,4,0,0,0.9375,0,False
667,63,1,0,0,0.984375,0,False
668,63,1,0,0,0.984375,0,False
669,63,1,0,0,0.984375,0,False
670,62,2,0,0,0.96875,0,False
671,63,1,0,0,0.984375,0,False
672,64,0,0,0,1.0,0,False
673,63,1,0,0,0.984375,0,False
674,63,1,0,0,0.984375,0,False
675,62,2,0,0,0.96875,0,False
676,61,3,0,0,0.953125,0,False
677,63,1,0,0,0.984375,0,False
678,63,1,0,0,0.984375,0,False
679,62,2,0,0,0.96875,0,False
680,62,2,0,0,0.96875,0,False
681,64,0,0,0,1.0,0,False
682,63,1,0,0,0.984375,0,False
683,64,0,0,0,1.0,0,False
684,63,1,0,0,0.984375,0,False
685,64,0,0,0,1.0,0,False
686,63,1,0,0,0.984375,0,False
687,64,0,0,0,1.0,0,False
688,63,1,0,0,0.984375,0,False
689,62,2,0,0,0.96875,0,False
690,64,0,0,0,1.0,0,False
691,62,2,0,0,0.96875,0,False
692,63,1,0,0,0.984375,0,False
693,61,3,0,0,0.953125,0,False
694,61,3,0,0,0.953125,0,False
695,63,1,0,0,0.984375,0,False
696,63,1,0,0,0.984375,0,False
697,64,0,0,0,1.0,0,False
698,63,1,0,0,0.984375,0,False
699,62,2,0,0,0.96875,0,False
700,64,0,0,0,1.0,0,False
701,62,2,0,0,0.96875,0,False
702,64,0,0,0,1.0,0,False
703,62,2,0,0,0.96875,0,False
704,63,1,0,0,0.984375,0,False
705,64,0,0,0,1.0,0,False
706,62,2,0,0,0.96875,0,False
707,63,1,0,0,0.984375,0,False
708,63,1,0,0,0.984375,0,False
709,63,1,0,0,0.984375,0,False
710,63,1,0,0,0.984375,0,False
711,63,1,0,0,0.984375,0,False
712,62,2,0,0,0.96875,0,False
713,62,2,0,0,0.96875,0,False
714,60,4,0,0,0.9375,0,False
715,63,1,0,0,0.984375,0,False
716,62,2,0,0,0.96875,0,False
717,63,1,0,0,0.984375,0,False
718,64,0,0,0,1.0,0,False
719,63,1,0,0,0.984375,0,False
720,63,1,0,0,0.984375,0,False
721,62,2,0,0,0.96875,0,False
722,63,1,0,0,0.984375,0,False
723,62,2,0,0,0.96875,0,False
724,62,2,0,0,0.96875,0,False
725,63,1,0,0,0.984375,0,False
726,64,0,0,0,1.0,0,False
727,62,2,0,0,0.96875,0,False
728,63,1,0,0,0.984375,0,False
729,60,4,0,0,0.9375,0,False
730,62,2,0,0,0.96875,0,False
731,64,0,0,0,1.0,0,False
732,62,2,0,0,0.96875,0,False
733,62,2,0,0,0.96875,0,False
734,64,0,0,0,1.0,0,False
735,63,1,0,0,0.984375,0,False
736,62,2,0,0,0.96875,0,False
737,61,3,0,0,0.953125,0,False
738,62,2,0,0,0.96875,0,False
739,63,1,0,0,0.984375,0,False
