run_idx,subject,fold_idx,auc,auprc,mcc,balanced_accuracy
0,03,0,0.6071428571428572,0.6238095238095238,0.06900655593423542,0.5357142857142857
0,05,1,0.6857707509881422,0.7332099865967552,0.33402405059749574,0.6650197628458498
0,06,2,0.41991341991341985,0.5003581220686897,-0.026144349280800106,0.487012987012987
0,08,3,0.6095238095238096,0.5819533725648276,0.03333333333333333,0.5166666666666666
0,10,4,0.8181818181818181,0.8469020878111788,0.7774288420142416,0.8571428571428572
0,12,5,0.6770833333333334,0.7146319305694305,0.16735967034880075,0.5763888888888888
0,14,6,0.5353535353535354,0.60134940816759,0.17910620335162064,0.5858585858585859
0,15,7,0.9468599033816425,0.8882105548772216,0.7562449037944323,0.9130434782608696
0,19,8,0.27218934911242604,0.4047331059872866,-0.46291004988627577,0.2692307692307693
0,22,9,0.5487179487179488,0.5412458045647625,0.13846153846153847,0.5692307692307692
0,23,10,0.6000000000000001,0.5453968253968254,0.1,0.55
0,24,11,0.8839285714285715,0.9584646358543417,0.6908492797077574,0.875
0,25,12,0.5693581780538303,0.6411639435399472,-0.08282943498909671,0.45962732919254656
0,28,13,0.6363636363636365,0.5700755671343907,0.05046083923495819,0.5277777777777778
0,29,14,0.49374999999999997,0.5869821486422677,0.04984447862792268,0.525
0,30,15,0.8693181818181818,0.8795167557047237,0.6590929823655834,0.821969696969697
0,31,16,0.48461538461538467,0.4550907564797201,-0.1423076923076923,0.4288461538461539
0,32,17,0.7913832199546486,0.7778488899687603,0.4305283859114459,0.7142857142857142
0,35,18,0.5909090909090909,0.588442106640636,0.2326210525996177,0.6136363636363636
0,37,19,0.5952380952380953,0.6557847021286448,0.1128715084239174,0.5565476190476191
0,38,20,0.4542936288088643,0.5242332918771724,-0.10660035817780522,0.4473684210526315
0,40,21,0.5636363636363636,0.5891661183048743,0.03692744729379982,0.5181818181818182
0,41,22,0.5390625,0.5343245516597444,0.0,0.5
0,42,23,0.6372549019607843,0.5662692577030812,0.12698374305804658,0.5612745098039216
