run_idx,subject,fold_idx,auc,auprc,mcc,balanced_accuracy
0,05,0,0.5169230769230769,0.5010259285843867,-0.018490006540840973,0.4907692307692308
0,06,1,0.4462962962962963,0.609462791821556,-0.25414752525052176,0.37222222222222223
0,08,2,0.5326315789473683,0.6077238704040354,0.018947368421052633,0.5094736842105263
0,09,3,0.5365079365079365,0.6311567772380364,-0.03779644730092272,0.4809523809523809
0,12,4,0.5116959064327485,0.5631866637967754,-0.07673882976766816,0.4649122807017544
0,13,5,0.43999999999999995,0.2808855472013367,-0.060522753266880246,0.4666666666666667
0,14,6,0.6041189931350115,0.5037903700916699,0.057208237986270026,0.528604118993135
0,18,7,0.4553571428571429,0.4659042763884328,0.005952380952380952,0.5029761904761905
0,22,8,0.6355555555555554,0.7052738664442089,0.22778995384138165,0.6118518518518519
0,32,9,0.4663461538461538,0.5188729425947861,0.038461538461538464,0.5192307692307692
0,34,10,0.5499999999999999,0.6037451874156068,0.13124121770334662,0.5657142857142857
0,38,11,0.5476190476190476,0.5686961291396775,-0.02158329236508578,0.4892857142857143
0,43,12,0.5146520146520146,0.5951069063016979,-0.09208243668497165,0.45421245421245426
