channel,coefficient,std_err,effect_size,t_statistic,p_value,p_corrected,significant,converged,method_used,marker,formula,random_formula,z_scored_pc1,z_scored_markers,fdr_alpha,fdr_method
AF3,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF4,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF7,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AF8,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
AFz,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C1,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C2,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C3,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C4,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C5,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
C6,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP1,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP2,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP3,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP4,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
CP5,-8.262364653083312e-17,,,,,,False,True,lbfgs,sef95,mean ~ PC1,~1 + PC1,True,False,0.05,indep
