subject,auc,auprc,mcc,balanced_accuracy,precision,recall,f1
03,0.5789473684210527,0.5015473798040725,0.11455108359133127,0.5572755417956656,0.5263157894736842,0.5882352941176471,0.5555555555555556
04,0.576923076923077,0.7639414794541015,0.1086310236566852,0.5576923076923077,0.7272727272727273,0.6153846153846154,0.6666666666666666
05,0.72,0.6661155417798656,0.35,0.675,0.6,0.75,0.6666666666666666
06,0.5359848484848484,0.5673629222129856,0.045454545454545456,0.5227272727272727,0.5454545454545454,0.5,0.5217391304347826
08,0.6623376623376624,0.6511298901994134,0.1745949755388324,0.5844155844155844,0.5555555555555556,0.7142857142857143,0.625
09,0.5441176470588235,0.7069201209294089,-0.22390553775994954,0.3897058823529412,0.5,0.5294117647058824,0.5142857142857142
10,0.5642857142857143,0.4489729225023342,0.21821789023599236,0.6071428571428572,0.5555555555555556,0.5,0.5263157894736842
12,0.5,0.497885440725998,0.28749445424997294,0.6285714285714286,0.5714285714285714,0.8571428571428571,0.6857142857142857
18,0.42261904761904767,0.45276281225476284,-0.06534666277174166,0.46726190476190477,0.43478260869565216,0.47619047619047616,0.45454545454545453
21,0.46153846153846156,0.42938311688311687,-0.24514516892273003,0.3557692307692308,0.125,0.25,0.16666666666666666
22,0.4063545150501673,0.4878074138539425,-0.14715719063545152,0.4264214046822743,0.46153846153846156,0.46153846153846156,0.46153846153846156
24,0.39115646258503406,0.35108488502857194,-0.07142857142857142,0.4642857142857143,0.35714285714285715,0.35714285714285715,0.35714285714285715
25,0.4270833333333333,0.5930342250485439,-0.0890870806374748,0.4583333333333333,0.5714285714285714,0.6666666666666666,0.6153846153846154
26,0.453781512605042,0.7307035639836152,-0.15877683720748895,0.4243697478991597,0.6666666666666666,0.7058823529411765,0.6857142857142857
27,0.42857142857142855,0.4748683772367983,-0.07312724241271307,0.4642857142857143,0.47058823529411764,0.5714285714285714,0.5161290322580645
28,0.5614035087719298,0.8049476750068492,0.11470786693528089,0.5657894736842105,0.8,0.631578947368421,0.7058823529411765
29,0.46190476190476193,0.6230892286825374,-0.03333333333333333,0.48333333333333334,0.5,0.4666666666666667,0.4827586206896552
30,0.5692307692307692,0.5970096621644609,-0.0381690510345287,0.4807692307692308,0.4166666666666667,0.5,0.45454545454545453
31,0.5357142857142857,0.7971102835073423,-0.022875450543583874,0.48809523809523814,0.6923076923076923,0.6428571428571429,0.6666666666666666
32,0.7309782608695652,0.7905228193224558,0.4231944290295931,0.7133152173913043,0.7727272727272727,0.7391304347826086,0.7555555555555555
34,0.5895652173913043,0.6121945362950414,0.10684109585195133,0.5495652173913044,0.5151515151515151,0.7391304347826086,0.6071428571428571
37,0.5619047619047618,0.7638623078785967,-0.02706659809803834,0.4857142857142857,0.6666666666666666,0.5714285714285714,0.6153846153846154
38,0.4888888888888888,0.4268717192630236,-0.15114173098063566,0.4222222222222222,0.3076923076923077,0.4444444444444444,0.36363636363636365
39,0.3209876543209877,0.4485794488956909,-0.2782074420373286,0.3611111111111111,0.35294117647058826,0.3333333333333333,0.34285714285714286
40,0.7619047619047619,0.893817221968864,0.33008622524996895,0.6845238095238095,0.8666666666666667,0.6190476190476191,0.7222222222222222
41,0.42857142857142855,0.7462310350468244,-0.08819171036881969,0.45,0.7,0.5,0.5833333333333334
42,0.8117647058823529,0.9481197003688353,0.49195203701447265,0.7823529411764706,0.9285714285714286,0.7647058823529411,0.8387096774193549
43,0.55,0.7757830845853954,0.03450738623384265,0.5192307692307692,0.7368421052631579,0.5384615384615384,0.6222222222222222
